"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "Log", "HTML", "Markdown", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 41, 134
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\angular.json", "JSON", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\docs\cors-troubleshooting.md", "Markdown", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 27, 84
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\docs\implementation-summary.md", "Markdown", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 20, 121
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\firebase-debug.log", "Log", 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 11, 325
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\firebase.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\firestore-debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\firestore.indexes.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\functions\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\functions\firestore-debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\functions\package-lock.json", "JSON", 10442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10443
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\functions\package.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\functions\src\index.ts", "TypeScript", 0, 0, 401, 0, 0, 0, 0, 0, 0, 2, 66, 469
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\functions\tsconfig.dev.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\functions\tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\package-lock.json", "JSON", 10565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10566
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\package.json", "JSON", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\public\index.html", "HTML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 6, 5, 90
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\scripts\cors-audit.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 11, 129
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\scripts\cors-third-party-probe.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 3, 92
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\scripts\functions-callable-smoke.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 14, 79
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.config.server.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.config.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 6, 70
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.routes.server.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 18, 2, 35
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.routes.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 2, 165
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.spec.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\app.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 8, 64
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\interceptors\error.interceptor.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 5, 54
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\interfaces\cover-letter.interface.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\interfaces\job.interface.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\interfaces\resumes.interface.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 21, 94
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\interfaces\user.interface.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\prompts\resume-prompt.service.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 6, 57
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\ai-agent.service.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 4, 11, 72
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\auth.service.ts", "TypeScript", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 13, 132
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\billing.service.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 12, 109
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\callable.service.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\cover-letter.service.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\notifications.service.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\resume.service.ts", "TypeScript", 0, 0, 144, 0, 0, 0, 0, 0, 0, 1, 15, 160
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\scroll.service.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\seo.service.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 15, 95
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\storage.service.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\services\trickle-db.service.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 13, 61
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\state\notifications\notifications.actions.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\state\notifications\notifications.effects.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\state\notifications\notifications.reducer.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\core\state\notifications\notifications.selectors.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\lib\notifications\notifications.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\lib\notifications\notifications.scss", "SCSS", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\lib\notifications\notifications.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\lib\notifications\notifications.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\lib\pipes\loading.pipe.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\lib\pipes\safe-html.pipe.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\pages\application\add-job-modal\add-job-modal.html", "HTML", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\pages\application\add-job-modal\add-job-modal.scss", "SCSS", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 19, 136
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\pages\application\add-job-modal\add-job-modal.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\pages\application\add-job-modal\add-job-modal.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\pages\application\application.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\frontend_coder\Documents\projects\ai-job-seek-helper\app\careerforgeai\src\app\pages\application\application.routes.ts", "TypeScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 2, 142
